Time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
11.0,1.22615319,0.35279798,85.14238416,0.52240664,0.88088919,0.24572718,15.97687988,-11.76095217,-17.25546288,-30.24386444,16.75930523,-2.4e-07,0.0,11.26963208,-16.23275041,-20.53768915,-27.14771951,17.73100767,-1.99e-06,0.0,-11.10816851,1.65538522,-0.24554565
11.05,1.13273452,0.80129086,85.38032253,0.5217657500000001,0.8812212600000001,0.24227361000000003,15.32871972,-12.22827908,-17.89230289,-30.39287556,16.231415000000002,-1.8000000000000002e-07,0.0,10.54779497,-16.00610896,-20.583467040000002,-27.026414950000003,17.98647478,-1.81e-06,0.0,-11.07695579,1.74055253,-0.22982034
11.100000000000001,1.1400598799999992,1.020163920000004,85.66735455999999,0.5215796599999999,0.8817137099999999,0.23898829999999988,14.619215329999975,-12.35125484,-18.41288396000001,-30.124708719999983,16.126247220000003,3.000000000000887e-08,0.0,10.155526929999992,-15.946183419999997,-20.452866139999998,-26.969005009999997,18.02303998,-1.9099999999999893e-06,0.0,-10.718327679999982,1.9654653700000067,-0.12466944999999506
11.150000000000002,1.0817091499999958,1.1556064700000082,85.96388295,0.5215646899999999,0.8821466699999998,0.2365618899999999,14.047626349999973,-12.464648480000003,-18.825448040000015,-29.85611456999999,16.188287519999996,7.000000000000137e-08,0.0,9.928604739999987,-15.868552899999992,-20.43254210999999,-26.91685674999999,17.909303939999987,-1.9200000000000075e-06,0.0,-10.31552924999999,2.118145230000004,0.0419515500000083
11.200000000000003,0.9286582899999913,1.273216250000004,86.43063019000006,0.5212373,0.8823213399999998,0.23527613999999997,13.665365059999981,-12.734870600000022,-19.276916830000047,-29.820015180000006,16.35442389000001,2.000000000000056e-07,0.0,9.868633350000014,-15.674630099999987,-20.35076122999998,-26.865864590000005,17.847558279999994,-1.820000000000006e-06,0.0,-10.049568859999983,2.266842090000017,0.10636145999999448
11.250000000000004,0.7655672999999785,1.284686859999999,87.04383391000003,0.5208296299999999,0.8823592599999999,0.23510928,13.512791679999994,-13.038926390000029,-19.792468160000027,-29.919039400000003,16.4531105,1.600000000000039e-07,0.0,10.063477740000012,-15.506879769999973,-20.30536973,-26.817822269999983,17.613451689999977,-1.6799999999999979e-06,0.0,-9.790344859999978,2.3967559899999946,-0.05574325000002143
11.300000000000004,0.43717042999997674,1.2932236500000076,87.65841010000004,0.52041187,0.8825563900000001,0.23589461000000014,13.47824237999999,-13.510369040000034,-20.192359410000037,-30.075030630000015,16.52441568,6.999999999999707e-08,0.0,10.266823810000012,-15.17337375999998,-20.58413774000003,-26.651434889999997,17.28080534999998,-1.5399999999999967e-06,0.0,-9.637195190000007,2.260347119999989,-0.3505584800000044
11.350000000000005,-0.06474460000004809,1.368962590000003,88.26369520000006,0.5199079799999999,0.8831386200000001,0.23760287000000024,13.425900349999996,-14.166864990000061,-20.562766180000043,-30.18111126999999,16.51295951999999,9.99999999998303e-09,0.0,10.317252380000001,-14.648222719999954,-21.218528460000087,-26.239706279999943,16.843493639999927,-1.4699999999999893e-06,0.0,-9.726215300000018,1.8355409299999519,-0.5407955300000067
11.400000000000006,-0.45198054000002413,1.3976483899999923,88.83887570000007,0.5192327699999999,0.8837838,0.24028556000000034,13.38493236,-14.668487380000037,-20.959282010000052,-30.10431598999998,16.40683159999998,-9.000000000001382e-08,0.0,10.425792950000039,-14.240159169999972,-21.777470030000007,-25.771889129999973,16.268977189999948,-1.159999999999981e-06,0.0,-9.92508587000002,1.5279321499999887,-0.6117663500000039
11.450000000000006,-0.586726909999996,1.3521700700000012,89.5369886500001,0.5179697099999998,0.88386247,0.24388727000000057,13.423284260000008,-14.95784020000002,-21.49488685000007,-30.038888450000012,16.29369657999998,-2.2999999999999033e-07,0.0,10.860253630000072,-13.937368409999975,-21.209442059999848,-25.55641324,16.109186370000003,-1.2000000000000298e-06,0.0,-10.197433110000055,1.5088935100000267,-0.7685285900000253
11.500000000000007,-0.37725716999997194,1.4203006000000054,90.18669701000005,0.5162663399999997,0.8833163899999997,0.2476177600000005,13.40630353000003,-14.922194309999998,-22.002558710000027,-30.094694140000033,16.21722580999999,-3.0999999999999253e-07,0.0,11.336482920000073,-13.902818069999999,-19.8053081199998,-25.680624010000045,16.285971140000033,-1.340000000000021e-06,0.0,-10.61114726000005,1.8838221000000437,-0.867074209999983
11.550000000000008,-0.21601806999998824,1.4996238300000249,90.36513423999999,0.5147764099999999,0.8826108900000001,0.25118542000000044,13.634116500000017,-14.89782375,-22.024301029999975,-30.30833062000001,16.106726849999962,-4.5000000000000654e-07,0.0,11.758913810000028,-13.907040189999993,-18.79095435999992,-26.057588390000042,16.47512427000001,-1.7300000000000448e-06,0.0,-10.956943990000058,2.0984864400000034,-0.5671640999999739
11.600000000000009,-0.12225899999999658,1.5723456300000018,90.12865194999992,0.5136823899999997,0.88248915,0.2542966500000005,13.852809660000043,-14.830563089999995,-21.79243424999995,-30.265765579999968,15.839814659999938,-3.899999999999409e-07,0.0,11.99940907000003,-13.957890809999993,-18.64734986000002,-26.403960000000037,16.647230950000047,-1.8900000000000442e-06,0.0,-11.251645030000038,2.1876109800000036,0.14665759000013778
